rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,fHadult,vHadult,pHadult,pHchild,rHadult,xH,alpha,fHchild,vHchild,rHchild,rmortTBH,p0
-0.12,-0.224524325,1.860296044,0.138232932,0.000119399,0.007771734,0.010750887,0.189339543,0.122724203,0.122724203,0.236790748,1.807393993,0.013571474,0.013571474,0.271892554,0.451354927,0.451354927,0.000174527,0.366446822,0.710417457,0.236790748,0.000174527,0.934201028,0.934201028,15.09022133,0.366446822,0.366611097,0.077792265,0.491103962,0.757677762,0.251080059,0.761869847,-0.193009228,0.112279104,0.053219867,0.14378154,0.24521718,13628.428
-0.12,-0.589287846,-0.019440062,0.112676652,0.000185447,0.01018144,0.012059132,0.116957138,0.121310999,0.121310999,0.18001356,1.517307482,0.00549035,0.00549035,0.409721204,0.603150423,0.603150423,0.000151239,0.134857356,0.725652491,0.18001356,0.000151239,1.467604861,1.467604861,11.00475529,0.134857356,0.399790512,0.040062496,0.318692207,0.30725432,0.400215415,0.900889242,-0.236212444,0.074686272,0.049124116,0.742169306,-0.594987675,13628.428
-0.12,-0.437266448,0.512321825,0.085413974,0.000133672,0.009527994,0.01094894,0.13957314,0.091140455,0.091140455,0.195378546,1.80113374,0.008868605,0.008868605,0.344907527,0.644228255,0.644228255,0.000227398,0.052066853,0.767405493,0.195378546,0.000227398,1.365072788,1.365072788,13.51628707,0.052066853,0.20857241,0.122646208,0.359361043,0.550328051,0.477634576,0.788353427,-0.296484313,0.02765324,0.072095519,0.513147124,-0.594000377,13628.428
-0.12,-0.369629067,1.330437952,0.104739245,0.000261488,0.007703284,0.016201125,0.115556405,0.081833885,0.081833885,0.243139966,1.407708637,0.007158292,0.007158292,0.311819284,0.489383925,0.489383925,0.000192871,0.48099125,0.577351329,0.243139966,0.000192871,0.641338788,0.641338788,18.7045032,0.48099125,0.28892104,0.045792182,0.422875355,0.597135964,0.551261508,0.819630796,-0.186516373,0.061835647,0.062083695,0.593231451,-0.035834966,13628.428
-0.12,-0.793793503,0.628705804,0.059690738,0.000108818,0.011610828,0.019692233,0.152078287,0.096428338,0.096428338,0.228772381,1.843948944,0.014148017,0.014148017,0.315799934,0.468673809,0.468673809,0.000108057,0.128853766,0.720760861,0.228772381,0.000108057,1.587854614,1.587854614,12.47322138,0.128853766,0.380491309,0.081902641,0.355026669,0.559916817,0.560560846,0.879649283,-0.460641904,0.048459732,0.082479675,0.460034492,-0.464758848,13628.428
-0.12,-0.22394977,1.590092378,0.091540049,0.00023855,0.009238852,0.007063131,0.128416738,0.10309646,0.10309646,0.11997867,1.344750462,0.012080356,0.012080356,0.309362413,0.450541775,0.450541775,0.000127097,0.509301469,0.709290662,0.11997867,0.000127097,0.822064119,0.822064119,15.37889668,0.509301469,0.383644881,0.150595032,0.38204032,0.475868633,0.423543173,0.886750405,-0.443891788,0.07794809,0.282653284,0.323918664,-0.034477358,13628.428
-0.12,-0.304068203,0.111679311,0.000179339,0.000258987,0.008690034,0.016697029,0.150153238,0.081781375,0.081781375,0.182540166,1.608303448,0.007454145,0.007454145,0.318590744,0.520492165,0.520492165,0.000113128,0.206259477,0.77272056,0.182540166,0.000113128,0.824343666,0.824343666,15.83680351,0.206259477,0.244725076,0.150449189,0.413550748,0.759292486,0.578434385,0.777731291,-0.403465135,8.43E-05,0.344427734,0.674338173,-0.003412688,13628.428
-0.12,0.342374567,1.070576459,0.095793687,0.000271901,0.010568789,0.018142989,0.188404957,0.081937197,0.081937197,0.199155502,1.025183253,0.010629619,0.010629619,0.254683755,0.663234829,0.663234829,0.000294004,0.833173863,0.50002373,0.199155502,0.000294004,0.450531776,0.450531776,15.04770994,0.833173863,0.38261191,0.160714811,0.346652533,0.797086769,0.289164588,0.743402218,-0.362071351,0.055262185,0.148632542,0.287509806,0.690406646,13628.428
-0.12,-0.640928464,-0.360301572,0.099226342,0.000178272,0.008774584,0.017587698,0.161293099,0.11359202,0.11359202,0.172079867,1.770448659,0.012428645,0.012428645,0.263523898,0.308031594,0.308031594,0.000161316,0.264705793,0.728197569,0.172079867,0.000161316,1.741679328,1.741679328,17.07328568,0.264705793,0.282809494,0.110666988,0.365096098,0.518412132,0.234140523,0.970137755,-0.163089729,0.091101537,0.122299384,0.165302478,-0.468145979,13628.428
-0.12,0.454103336,-0.452428544,0.064389291,0.000160797,0.005060925,0.008409163,0.15758531,0.0822006,0.0822006,0.21538598,1.170998755,0.010912485,0.010912485,0.314387431,0.515641162,0.515641162,0.000296014,0.181628836,0.722724715,0.21538598,0.000296014,0.309663113,0.309663113,14.51409568,0.181628836,0.261919608,0.071866334,0.47341782,0.907580892,0.583347924,0.535338189,-0.429920863,0.032706501,0.0390384,0.27054148,0.760222495,13628.428
