yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1950,0.18610965,0.028458435,0.028458435,0.028458435,0.028458435,0.009275285,0.009275285,0.009275285,0.009275285,0.009275285,0.006847019,0.006847019,0.006847019,0.006847019,0.006847019,0.008578862,0.008578862,0.008578862,0.008578862,0.008578862,0.010655787,0.010655787,0.010655787,0.010655787,0.010655787,0.01188154,0.01188154,0.01188154,0.01188154,0.01188154,0.013404867,0.013404867,0.013404867,0.013404867,0.013404867,0.015426429,0.015426429,0.015426429,0.015426429,0.015426429,0.017890633,0.017890633,0.017890633,0.017890633,0.017890633,0.021612014,0.021612014,0.021612014,0.021612014,0.021612014,0.02671668,0.02671668,0.02671668,0.02671668,0.02671668,0.034015172,0.034015172,0.034015172,0.034015172,0.034015172,0.044687432,0.044687432,0.044687432,0.044687432,0.044687432,0.058524618,0.058524618,0.058524618,0.058524618,0.058524618,0.076424752,0.076424752,0.076424752,0.076424752,0.076424752,0.097294018,0.097294018,0.097294018,0.097294018,0.097294018,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,1
1951,0.18610965,0.028458435,0.028458435,0.028458435,0.028458435,0.009275285,0.009275285,0.009275285,0.009275285,0.009275285,0.006847019,0.006847019,0.006847019,0.006847019,0.006847019,0.008578862,0.008578862,0.008578862,0.008578862,0.008578862,0.010655787,0.010655787,0.010655787,0.010655787,0.010655787,0.01188154,0.01188154,0.01188154,0.01188154,0.01188154,0.013404867,0.013404867,0.013404867,0.013404867,0.013404867,0.015426429,0.015426429,0.015426429,0.015426429,0.015426429,0.017890633,0.017890633,0.017890633,0.017890633,0.017890633,0.021612014,0.021612014,0.021612014,0.021612014,0.021612014,0.02671668,0.02671668,0.02671668,0.02671668,0.02671668,0.034015172,0.034015172,0.034015172,0.034015172,0.034015172,0.044687432,0.044687432,0.044687432,0.044687432,0.044687432,0.058524618,0.058524618,0.058524618,0.058524618,0.058524618,0.076424752,0.076424752,0.076424752,0.076424752,0.076424752,0.097294018,0.097294018,0.097294018,0.097294018,0.097294018,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,1
1952,0.18610965,0.028458435,0.028458435,0.028458435,0.028458435,0.009275285,0.009275285,0.009275285,0.009275285,0.009275285,0.006847019,0.006847019,0.006847019,0.006847019,0.006847019,0.008578862,0.008578862,0.008578862,0.008578862,0.008578862,0.010655787,0.010655787,0.010655787,0.010655787,0.010655787,0.01188154,0.01188154,0.01188154,0.01188154,0.01188154,0.013404867,0.013404867,0.013404867,0.013404867,0.013404867,0.015426429,0.015426429,0.015426429,0.015426429,0.015426429,0.017890633,0.017890633,0.017890633,0.017890633,0.017890633,0.021612014,0.021612014,0.021612014,0.021612014,0.021612014,0.02671668,0.02671668,0.02671668,0.02671668,0.02671668,0.034015172,0.034015172,0.034015172,0.034015172,0.034015172,0.044687432,0.044687432,0.044687432,0.044687432,0.044687432,0.058524618,0.058524618,0.058524618,0.058524618,0.058524618,0.076424752,0.076424752,0.076424752,0.076424752,0.076424752,0.097294018,0.097294018,0.097294018,0.097294018,0.097294018,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,1
1953,0.18610965,0.028458435,0.028458435,0.028458435,0.028458435,0.009275285,0.009275285,0.009275285,0.009275285,0.009275285,0.006847019,0.006847019,0.006847019,0.006847019,0.006847019,0.008578862,0.008578862,0.008578862,0.008578862,0.008578862,0.010655787,0.010655787,0.010655787,0.010655787,0.010655787,0.01188154,0.01188154,0.01188154,0.01188154,0.01188154,0.013404867,0.013404867,0.013404867,0.013404867,0.013404867,0.015426429,0.015426429,0.015426429,0.015426429,0.015426429,0.017890633,0.017890633,0.017890633,0.017890633,0.017890633,0.021612014,0.021612014,0.021612014,0.021612014,0.021612014,0.02671668,0.02671668,0.02671668,0.02671668,0.02671668,0.034015172,0.034015172,0.034015172,0.034015172,0.034015172,0.044687432,0.044687432,0.044687432,0.044687432,0.044687432,0.058524618,0.058524618,0.058524618,0.058524618,0.058524618,0.076424752,0.076424752,0.076424752,0.076424752,0.076424752,0.097294018,0.097294018,0.097294018,0.097294018,0.097294018,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,1
1954,0.18610965,0.028458435,0.028458435,0.028458435,0.028458435,0.009275285,0.009275285,0.009275285,0.009275285,0.009275285,0.006847019,0.006847019,0.006847019,0.006847019,0.006847019,0.008578862,0.008578862,0.008578862,0.008578862,0.008578862,0.010655787,0.010655787,0.010655787,0.010655787,0.010655787,0.01188154,0.01188154,0.01188154,0.01188154,0.01188154,0.013404867,0.013404867,0.013404867,0.013404867,0.013404867,0.015426429,0.015426429,0.015426429,0.015426429,0.015426429,0.017890633,0.017890633,0.017890633,0.017890633,0.017890633,0.021612014,0.021612014,0.021612014,0.021612014,0.021612014,0.02671668,0.02671668,0.02671668,0.02671668,0.02671668,0.034015172,0.034015172,0.034015172,0.034015172,0.034015172,0.044687432,0.044687432,0.044687432,0.044687432,0.044687432,0.058524618,0.058524618,0.058524618,0.058524618,0.058524618,0.076424752,0.076424752,0.076424752,0.076424752,0.076424752,0.097294018,0.097294018,0.097294018,0.097294018,0.097294018,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,0.030702507,1
1955,0.17041754,0.025629953,0.025629953,0.025629953,0.025629953,0.008144409,0.008144409,0.008144409,0.008144409,0.008144409,0.005781548,0.005781548,0.005781548,0.005781548,0.005781548,0.007097317,0.007097317,0.007097317,0.007097317,0.007097317,0.00880218,0.00880218,0.00880218,0.00880218,0.00880218,0.009944107,0.009944107,0.009944107,0.009944107,0.009944107,0.011467607,0.011467607,0.011467607,0.011467607,0.011467607,0.013455895,0.013455895,0.013455895,0.013455895,0.013455895,0.015883483,0.015883483,0.015883483,0.015883483,0.015883483,0.019507455,0.019507455,0.019507455,0.019507455,0.019507455,0.024115688,0.024115688,0.024115688,0.024115688,0.024115688,0.030715888,0.030715888,0.030715888,0.030715888,0.030715888,0.041052096,0.041052096,0.041052096,0.041052096,0.041052096,0.054601278,0.054601278,0.054601278,0.054601278,0.054601278,0.07279918,0.07279918,0.07279918,0.07279918,0.07279918,0.093056058,0.093056058,0.093056058,0.093056058,0.093056058,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,1
1956,0.17041754,0.025629953,0.025629953,0.025629953,0.025629953,0.008144409,0.008144409,0.008144409,0.008144409,0.008144409,0.005781548,0.005781548,0.005781548,0.005781548,0.005781548,0.007097317,0.007097317,0.007097317,0.007097317,0.007097317,0.00880218,0.00880218,0.00880218,0.00880218,0.00880218,0.009944107,0.009944107,0.009944107,0.009944107,0.009944107,0.011467607,0.011467607,0.011467607,0.011467607,0.011467607,0.013455895,0.013455895,0.013455895,0.013455895,0.013455895,0.015883483,0.015883483,0.015883483,0.015883483,0.015883483,0.019507455,0.019507455,0.019507455,0.019507455,0.019507455,0.024115688,0.024115688,0.024115688,0.024115688,0.024115688,0.030715888,0.030715888,0.030715888,0.030715888,0.030715888,0.041052096,0.041052096,0.041052096,0.041052096,0.041052096,0.054601278,0.054601278,0.054601278,0.054601278,0.054601278,0.07279918,0.07279918,0.07279918,0.07279918,0.07279918,0.093056058,0.093056058,0.093056058,0.093056058,0.093056058,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,1
1957,0.17041754,0.025629953,0.025629953,0.025629953,0.025629953,0.008144409,0.008144409,0.008144409,0.008144409,0.008144409,0.005781548,0.005781548,0.005781548,0.005781548,0.005781548,0.007097317,0.007097317,0.007097317,0.007097317,0.007097317,0.00880218,0.00880218,0.00880218,0.00880218,0.00880218,0.009944107,0.009944107,0.009944107,0.009944107,0.009944107,0.011467607,0.011467607,0.011467607,0.011467607,0.011467607,0.013455895,0.013455895,0.013455895,0.013455895,0.013455895,0.015883483,0.015883483,0.015883483,0.015883483,0.015883483,0.019507455,0.019507455,0.019507455,0.019507455,0.019507455,0.024115688,0.024115688,0.024115688,0.024115688,0.024115688,0.030715888,0.030715888,0.030715888,0.030715888,0.030715888,0.041052096,0.041052096,0.041052096,0.041052096,0.041052096,0.054601278,0.054601278,0.054601278,0.054601278,0.054601278,0.07279918,0.07279918,0.07279918,0.07279918,0.07279918,0.093056058,0.093056058,0.093056058,0.093056058,0.093056058,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,1
1958,0.17041754,0.025629953,0.025629953,0.025629953,0.025629953,0.008144409,0.008144409,0.008144409,0.008144409,0.008144409,0.005781548,0.005781548,0.005781548,0.005781548,0.005781548,0.007097317,0.007097317,0.007097317,0.007097317,0.007097317,0.00880218,0.00880218,0.00880218,0.00880218,0.00880218,0.009944107,0.009944107,0.009944107,0.009944107,0.009944107,0.011467607,0.011467607,0.011467607,0.011467607,0.011467607,0.013455895,0.013455895,0.013455895,0.013455895,0.013455895,0.015883483,0.015883483,0.015883483,0.015883483,0.015883483,0.019507455,0.019507455,0.019507455,0.019507455,0.019507455,0.024115688,0.024115688,0.024115688,0.024115688,0.024115688,0.030715888,0.030715888,0.030715888,0.030715888,0.030715888,0.041052096,0.041052096,0.041052096,0.041052096,0.041052096,0.054601278,0.054601278,0.054601278,0.054601278,0.054601278,0.07279918,0.07279918,0.07279918,0.07279918,0.07279918,0.093056058,0.093056058,0.093056058,0.093056058,0.093056058,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,1
1959,0.17041754,0.025629953,0.025629953,0.025629953,0.025629953,0.008144409,0.008144409,0.008144409,0.008144409,0.008144409,0.005781548,0.005781548,0.005781548,0.005781548,0.005781548,0.007097317,0.007097317,0.007097317,0.007097317,0.007097317,0.00880218,0.00880218,0.00880218,0.00880218,0.00880218,0.009944107,0.009944107,0.009944107,0.009944107,0.009944107,0.011467607,0.011467607,0.011467607,0.011467607,0.011467607,0.013455895,0.013455895,0.013455895,0.013455895,0.013455895,0.015883483,0.015883483,0.015883483,0.015883483,0.015883483,0.019507455,0.019507455,0.019507455,0.019507455,0.019507455,0.024115688,0.024115688,0.024115688,0.024115688,0.024115688,0.030715888,0.030715888,0.030715888,0.030715888,0.030715888,0.041052096,0.041052096,0.041052096,0.041052096,0.041052096,0.054601278,0.054601278,0.054601278,0.054601278,0.054601278,0.07279918,0.07279918,0.07279918,0.07279918,0.07279918,0.093056058,0.093056058,0.093056058,0.093056058,0.093056058,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,0.029487031,1
