"Year","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2000,364.892442149882,271.623802296471,396.877905453828,137.163103781723,89.8035044711633,190.845627689198,477.56402622271,356.657868170372,531.931380453702
2001,437.095812966616,323.099405491391,492.447961528074,164.486755935154,108.912569225606,225.980563534384,569.144165287051,422.943067338624,643.024173269729
2002,505.574059876468,369.920173141084,598.326438632236,190.809937345813,124.99781135384,272.250557404101,657.461829806513,481.667262833944,783.912334179721
2003,574.864980528342,416.026465405888,711.672329111943,217.83457637691,142.701623219453,320.474935817089,744.015800338908,538.86102819882,935.611824243935
2004,638.304645598032,459.190225378815,821.743880181604,242.878328624237,160.730077448748,372.767709559289,821.971056144948,591.797016166474,1075.57950052747
2005,694.761877840845,498.867093591381,916.667297894468,267.544197329974,176.587393363151,426.814375800922,891.417414216854,640.7624824149,1196.4732434865
2006,730.459914205381,526.820933463216,970.687410787502,283.477115508196,187.614007224348,465.937942388031,934.919714370386,674.840174780576,1263.66114365907
2007,737.518985368328,539.011191631147,972.801102564808,288.106670305751,192.541142828087,482.420975215187,943.433989807943,688.879258612133,1263.1063492013
2008,712.466255046088,530.534467390423,922.507083582569,283.782799473657,193.816443990588,478.692691375074,905.662978351286,674.669735880778,1191.72227587749
2009,692.916500212927,529.513319240951,876.55049797259,273.276421721684,192.859207691261,455.100929736297,878.52716276769,672.511852708294,1130.25360087158
2010,665.570820473211,523.133439274471,821.332787847504,260.681563119039,189.416691731959,421.858624224421,844.167933445245,664.113264182193,1058.11465427092
2011,638.813425950344,517.791997838188,766.596533192686,242.345552067826,180.163508851693,374.415208358613,813.050673645396,659.466874942909,989.950645065964
2012,577.550433690022,483.164379620529,684.707187701132,221.047258772418,169.776724017081,322.80237979067,731.785069057055,613.536250340268,884.479196943356
2013,518.278652881199,449.473745603192,610.223537700543,200.632247014459,159.30431832329,277.208473489952,655.229653510088,569.165184425557,785.839637526482
2014,478.836424736145,429.652750558246,557.759000590337,181.219483376461,149.113179505726,239.243257861243,604.39335703878,544.576883593687,718.435104366432
2015,442.604929649655,410.083192229074,517.670141828696,165.520587677926,140.69909987739,210.996069799232,557.60073206635,519.970208518876,658.860308057708
2016,409.305479410636,376.004023489245,487.176764698501,151.511595415183,127.614660686384,196.17599947252,515.230606282441,470.864234454249,620.794759506661
2017,367.245116583639,330.854722405726,445.642150866643,139.329982371487,113.923628902939,184.301944477583,459.56930092977,407.582213654941,564.887831488298
2018,337.948092931087,295.595134018411,420.830248907817,127.098082323808,100.77778205993,172.53458929378,422.203068275003,364.0946885316,532.515280292161
2019,311.736033151448,265.062879225928,397.590170558538,117.334353059008,89.7503603684369,162.122722393824,388.468664235201,326.2191564517,501.605045238437
2020,287.250489527854,238.270352002135,374.770068228676,108.37895942659,80.5992091736519,153.11059333046,356.776861541215,292.634942595456,470.885439408479
