"Year","V2","V3","V4"
2000,192.911352493403,144.22258619431,248.043042613691
2001,236.875528093948,178.96061244062,297.560962768385
2002,282.149336140606,213.531729653274,355.235576713404
2003,326.647684401868,245.199837919867,422.809532177689
2004,370.069012357835,275.774798267301,487.321308570864
2005,407.048542841494,304.148519917434,544.047794652122
2006,433.829739238778,325.681373850931,581.135875243839
2007,443.479786643719,337.368271057335,591.962429219839
2008,428.472818851847,331.484098417481,568.866743750085
2009,421.926785260434,333.232768132704,556.964206255378
2010,409.57024009697,329.811671634691,533.482874624427
2011,401.047343657238,329.946814125412,511.699636323425
2012,359.18313132675,301.269547562341,451.207083633633
2013,320.097452361507,269.106098885815,394.963464360625
2014,297.05405244311,249.840591497307,361.657694959853
2015,274.180485409782,230.903835322331,336.849499956697
2016,252.897828446537,212.958154424749,320.555308848981
2017,219.905884803814,185.64690242075,290.048699704433
2018,198.635315941722,167.058245732442,272.341591692196
2019,179.263368963532,149.856715272333,254.229934432748
2020,161.231643065148,134.066388757068,236.139230224174
2021,147.739877136613,122.19481286458,223.287620550609
2022,138.420072470971,113.808842158838,215.498004606515
2023,132.312950611762,108.12365830838,212.832681973792
2024,126.778969794175,102.800165453692,210.069600513902
2025,122.054652017298,97.8942544578771,207.378465799367
2026,117.194646562388,93.2940588541413,204.591888403807
2027,112.583454766476,88.8331040060545,201.670588088257
2028,108.446510219005,84.4141623694871,198.642343490364
2029,104.328600638624,80.2764205887335,195.515963836794
2030,100.500121889698,76.4697239401468,192.47474585194
2031,96.8825345004698,72.9237634073545,189.430487044535
2032,93.412822790837,69.5822694582049,186.309509464249
2033,90.0514719784515,66.4277598257308,183.108586184979
2034,86.8693619670071,63.4427665041722,179.822963133737
2035,83.8678653962501,60.6617573435563,176.578680125422
2036,80.9871284984633,58.0537092647595,173.339791516701
2037,78.2753778684945,55.5746588412798,170.030173599414
2038,75.5477996725167,53.2151506976202,166.653482657994
2039,73.0271210328355,50.9657167889011,163.210022415232
2040,70.6071673208479,48.8524740153367,159.799772214832
2041,68.2510789067011,46.8601323423064,156.405765207309
2042,65.9312211356559,44.9533425252005,152.954929220124
2043,63.7204536506408,43.126631216359,149.450769232797
2044,61.5389905858552,41.3758050575751,145.901921281508
2045,59.4214145266583,39.7236751322422,142.402984598306
2046,57.4483740738803,38.1577543917866,138.942986987725
2047,55.5732832676506,36.6523963804152,135.461736346025
2048,53.6941009365862,35.2051064218017,131.962807949272
2049,51.8674681674357,33.8137201383097,128.453502370603
2050,50.1520944528118,32.4969251325022,125.011868494367
